submission_id,RT,age,comments,correctness,education,endTime,expected,experiment_id,gender,key_pressed,languages,picture,startDate,startTime,timeSpent,trial_number,trial_type
1404,4133,22,,incorrect,,1594806350027,small,157,female,p,german,images/square_2x2.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,1,compatible
1404,3619,22,,correct,,1594806350027,large,157,female,p,german,images/square_4x4.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,2,compatible
1404,3037,22,,correct,,1594806350027,large,157,female,p,german,images/square_4x4.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,3,compatible
1404,3253,22,,correct,,1594806350027,small,157,female,q,german,images/square_2x2.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,4,compatible
1404,3054,22,,correct,,1594806350027,small,157,female,q,german,images/square_2x2.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,5,compatible
1404,3170,22,,correct,,1594806350027,small,157,female,q,german,images/square_2x2.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,6,compatible
1404,3128,22,,correct,,1594806350027,small,157,female,q,german,images/square_2x2.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,7,compatible
1404,3166,22,,correct,,1594806350027,small,157,female,q,german,images/square_2x2.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,8,compatible
1404,3022,22,,correct,,1594806350027,small,157,female,q,german,images/square_2x2.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,9,compatible
1404,3161,22,,correct,,1594806350027,small,157,female,q,german,images/square_2x2.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,10,compatible
1404,3065,22,,correct,,1594806350027,small,157,female,q,german,images/square_2x2.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,1,compatible
1404,2916,22,,correct,,1594806350027,large,157,female,p,german,images/square_4x4.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,2,compatible
1404,3026,22,,correct,,1594806350027,small,157,female,q,german,images/square_2x2.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,3,compatible
1404,3033,22,,correct,,1594806350027,large,157,female,p,german,images/square_4x4.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,4,compatible
1404,3184,22,,correct,,1594806350027,small,157,female,q,german,images/square_2x2.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,5,compatible
1404,2923,22,,correct,,1594806350027,large,157,female,p,german,images/square_4x4.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,6,compatible
1404,3156,22,,correct,,1594806350027,small,157,female,q,german,images/square_2x2.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,7,compatible
1404,3021,22,,correct,,1594806350027,small,157,female,q,german,images/square_2x2.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,8,compatible
1404,2952,22,,correct,,1594806350027,large,157,female,p,german,images/square_4x4.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,9,compatible
1404,3010,22,,correct,,1594806350027,large,157,female,p,german,images/square_4x4.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,10,compatible
1404,3037,22,,correct,,1594806350027,large,157,female,p,german,images/square_4x4.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,11,compatible
1404,3003,22,,correct,,1594806350027,large,157,female,p,german,images/square_4x4.jpg,Wed Jul 15 2020 11:33:03 GMT+0200 (Mitteleuropäische Sommerzeit),1594805583024,12.783383333333333,12,compatible
